type,className,fileName,lineno,CLOC,NOA,NOM
CLASS,ZipZArchive,D:\ansible\modules\unarchive.py,971,22,0,2
CLASS,StructSpwdType,D:\ansible\modules\user.py,485,12,1,0
CLASS,User,D:\ansible\modules\user.py,520,808,7,28
CLASS,FreeBsdUser,D:\ansible\modules\user.py,1332,283,5,4
CLASS,DragonFlyBsdUser,D:\ansible\modules\user.py,1617,9,1,0
CLASS,OpenBSDUser,D:\ansible\modules\user.py,1628,172,3,3
CLASS,NetBSDUser,D:\ansible\modules\user.py,1802,162,3,3
CLASS,SunOS,D:\ansible\modules\user.py,1966,285,4,6
CLASS,DarwinUser,D:\ansible\modules\user.py,2253,358,5,14
CLASS,AIX,D:\ansible\modules\user.py,2613,199,3,4
CLASS,HPUX,D:\ansible\modules\user.py,2814,143,3,3
CLASS,BusyBox,D:\ansible\modules\user.py,2959,131,0,3
CLASS,Alpine,D:\ansible\modules\user.py,3092,7,2,0
CLASS,TCPConnectionInfo,D:\ansible\modules\wait_for.py,254,78,4,4
CLASS,LinuxTCPConnectionInfo,D:\ansible\modules\wait_for.py,337,72,8,3
CLASS,YumRepo,D:\ansible\modules\yum_repository.py,429,155,6,5
CLASS,AnsibleModule,D:\ansible\module_utils\basic.py,360,1700,2,62
CLASS,ConnectionError,D:\ansible\module_utils\connection.py,95,6,0,1
CLASS,Connection,D:\ansible\module_utils\connection.py,103,103,0,5
CLASS,AnsibleFallbackNotFound,D:\ansible\module_utils\errors.py,8,2,0,0
CLASS,AnsibleValidationError,D:\ansible\module_utils\errors.py,12,12,0,2
CLASS,AnsibleValidationErrorMultiple,D:\ansible\module_utils\errors.py,26,37,0,8
CLASS,AliasError,D:\ansible\module_utils\errors.py,65,2,0,0
CLASS,ArgumentTypeError,D:\ansible\module_utils\errors.py,69,2,0,0
CLASS,ArgumentValueError,D:\ansible\module_utils\errors.py,73,2,0,0
CLASS,DeprecationError,D:\ansible\module_utils\errors.py,77,2,0,0
CLASS,ElementError,D:\ansible\module_utils\errors.py,81,2,0,0
CLASS,MutuallyExclusiveError,D:\ansible\module_utils\errors.py,85,2,0,0
CLASS,NoLogError,D:\ansible\module_utils\errors.py,89,2,0,0
CLASS,RequiredByError,D:\ansible\module_utils\errors.py,93,2,0,0
CLASS,RequiredDefaultError,D:\ansible\module_utils\errors.py,97,2,0,0
CLASS,RequiredError,D:\ansible\module_utils\errors.py,101,2,0,0
CLASS,RequiredIfError,D:\ansible\module_utils\errors.py,105,2,0,0
CLASS,RequiredOneOfError,D:\ansible\module_utils\errors.py,109,2,0,0
CLASS,RequiredTogetherError,D:\ansible\module_utils\errors.py,113,2,0,0
CLASS,SubParameterTypeError,D:\ansible\module_utils\errors.py,117,2,0,0
CLASS,UnsupportedError,D:\ansible\module_utils\errors.py,121,2,0,0
CLASS,HTTPGSSAPIAuthHandler,D:\ansible\module_utils\urls.py,97,74,2,3
CLASS,ConnectionError,D:\ansible\module_utils\urls.py,187,3,0,0
CLASS,ProxyError,D:\ansible\module_utils\urls.py,192,3,0,0
CLASS,SSLValidationError,D:\ansible\module_utils\urls.py,197,6,0,0
CLASS,NoSSLError,D:\ansible\module_utils\urls.py,205,6,0,0
CLASS,MissingModuleError,D:\ansible\module_utils\urls.py,213,6,0,1
CLASS,UnixHTTPSConnection,D:\ansible\module_utils\urls.py,235,16,0,3
CLASS,UnixHTTPSHandler,D:\ansible\module_utils\urls.py,252,18,0,2
CLASS,UnixHTTPConnection,D:\ansible\module_utils\urls.py,272,18,0,3
CLASS,UnixHTTPHandler,D:\ansible\module_utils\urls.py,292,9,0,2
CLASS,ParseResultDottedDict,D:\ansible\module_utils\urls.py,303,13,0,2
CLASS,GzipDecodedReader,D:\ansible\module_utils\urls.py,361,26,0,3
CLASS,HTTPRedirectHandler,D:\ansible\module_utils\urls.py,389,80,0,3
CLASS,Request,D:\ansible\module_utils\urls.py,704,276,0,10
CLASS,YumDnf,D:\ansible\module_utils\yumdnf.py,60,99,0,3
CLASS,ValidationResult,D:\ansible\module_utils\common\arg_spec.py,43,45,0,4
CLASS,ArgumentSpecValidator,D:\ansible\module_utils\common\arg_spec.py,90,197,0,2
CLASS,ModuleArgumentSpecValidator,D:\ansible\module_utils\common\arg_spec.py,289,22,0,2
CLASS,ImmutableDict,D:\ansible\module_utils\common\collections.py,13,52,0,9
CLASS,AnsibleJSONEncoder,D:\ansible\module_utils\common\json.py,44,41,0,3
CLASS,_UTC,D:\ansible\module_utils\compat\datetime.py,16,11,1,3
CLASS,_to_char_p,D:\ansible\module_utils\compat\selinux.py,27,7,0,1
CLASS,Version,D:\ansible\module_utils\compat\version.py,38,43,0,7
CLASS,StrictVersion,D:\ansible\module_utils\compat\version.py,100,103,1,3
CLASS,LooseVersion,D:\ansible\module_utils\compat\version.py,271,70,1,5
CLASS,VersionDict,D:\ansible\module_utils\distro\_distro.py,65,4,0,0
CLASS,InfoDict,D:\ansible\module_utils\distro\_distro.py,71,6,0,0
CLASS,cached_property,D:\ansible\module_utils\distro\_distro.py,633,14,0,2
CLASS,LinuxDistribution,D:\ansible\module_utils\distro\_distro.py,649,708,0,34
CLASS,AnsibleFactCollector,D:\ansible\module_utils\facts\ansible_collector.py,41,61,0,3
CLASS,CollectorMetaDataCollector,D:\ansible\module_utils\facts\ansible_collector.py,104,16,2,2
CLASS,CycleFoundInFactDeps,D:\ansible\module_utils\facts\collector.py,40,9,0,0
CLASS,UnresolvedFactDep,D:\ansible\module_utils\facts\collector.py,51,2,0,0
CLASS,CollectorNotFoundError,D:\ansible\module_utils\facts\collector.py,55,2,0,0
CLASS,BaseFactCollector,D:\ansible\module_utils\facts\collector.py,59,60,4,6
CLASS,FactNamespace,D:\ansible\module_utils\facts\namespace.py,31,10,0,3
CLASS,PrefixFactNamespace,D:\ansible\module_utils\facts\namespace.py,43,8,0,2
CLASS,PkgMgr,D:\ansible\module_utils\facts\packages.py,18,32,0,4
CLASS,LibMgr,D:\ansible\module_utils\facts\packages.py,52,17,1,2
CLASS,CLIMgr,D:\ansible\module_utils\facts\packages.py,71,15,1,2
CLASS,TimeoutError,D:\ansible\module_utils\facts\timeout.py,28,2,0,0
CLASS,AIXHardware,D:\ansible\module_utils\facts\hardware\aix.py,24,237,1,7
CLASS,AIXHardwareCollector,D:\ansible\module_utils\facts\hardware\aix.py,263,3,2,0
CLASS,Hardware,D:\ansible\module_utils\facts\hardware\base.py,36,9,1,2
CLASS,HardwareCollector,D:\ansible\module_utils\facts\hardware\base.py,47,21,3,1
CLASS,DarwinHardware,D:\ansible\module_utils\facts\hardware\darwin.py,27,127,1,6
CLASS,DarwinHardwareCollector,D:\ansible\module_utils\facts\hardware\darwin.py,156,3,2,0
CLASS,DragonFlyHardwareCollector,D:\ansible\module_utils\facts\hardware\dragonfly.py,22,4,2,0
CLASS,FreeBSDHardware,D:\ansible\module_utils\facts\hardware\freebsd.py,30,206,2,7
CLASS,FreeBSDHardwareCollector,D:\ansible\module_utils\facts\hardware\freebsd.py,238,3,2,0
CLASS,HPUXHardware,D:\ansible\module_utils\facts\hardware\hpux.py,24,134,1,4
CLASS,HPUXHardwareCollector,D:\ansible\module_utils\facts\hardware\hpux.py,160,5,3,0
CLASS,HurdHardware,D:\ansible\module_utils\facts\hardware\hurd.py,23,25,1,1
CLASS,HurdHardwareCollector,D:\ansible\module_utils\facts\hardware\hurd.py,50,3,2,0
CLASS,LinuxHardware,D:\ansible\module_utils\facts\hardware\linux.py,56,847,6,24
CLASS,LinuxHardwareCollector,D:\ansible\module_utils\facts\hardware\linux.py,905,5,3,0
CLASS,NetBSDHardware,D:\ansible\module_utils\facts\hardware\netbsd.py,31,148,2,6
CLASS,NetBSDHardwareCollector,D:\ansible\module_utils\facts\hardware\netbsd.py,181,3,2,0
CLASS,OpenBSDHardware,D:\ansible\module_utils\facts\hardware\openbsd.py,30,149,1,7
CLASS,OpenBSDHardwareCollector,D:\ansible\module_utils\facts\hardware\openbsd.py,181,3,2,0
CLASS,SunOSHardware,D:\ansible\module_utils\facts\hardware\sunos.py,29,248,1,7
CLASS,SunOSHardwareCollector,D:\ansible\module_utils\facts\hardware\sunos.py,279,5,3,0
CLASS,AIXNetwork,D:\ansible\module_utils\facts\network\aix.py,24,116,1,3
CLASS,AIXNetworkCollector,D:\ansible\module_utils\facts\network\aix.py,142,3,2,0
CLASS,Network,D:\ansible\module_utils\facts\network\base.py,23,19,1,2
CLASS,NetworkCollector,D:\ansible\module_utils\facts\network\base.py,44,28,4,1
CLASS,DarwinNetwork,D:\ansible\module_utils\facts\network\darwin.py,22,22,1,1
CLASS,DarwinNetworkCollector,D:\ansible\module_utils\facts\network\darwin.py,46,3,2,0
CLASS,DragonFlyNetwork,D:\ansible\module_utils\facts\network\dragonfly.py,22,6,1,0
CLASS,DragonFlyNetworkCollector,D:\ansible\module_utils\facts\network\dragonfly.py,30,3,2,0
CLASS,FcWwnInitiatorFactCollector,D:\ansible\module_utils\facts\network\fc_wwn.py,29,78,2,1
CLASS,FreeBSDNetwork,D:\ansible\module_utils\facts\network\freebsd.py,22,6,1,0
CLASS,FreeBSDNetworkCollector,D:\ansible\module_utils\facts\network\freebsd.py,30,3,2,0
CLASS,GenericBsdIfconfigNetwork,D:\ansible\module_utils\facts\network\generic_bsd.py,25,296,1,17
CLASS,HPUXNetwork,D:\ansible\module_utils\facts\network\hpux.py,21,56,1,3
CLASS,HPUXNetworkCollector,D:\ansible\module_utils\facts\network\hpux.py,79,3,2,0
CLASS,HurdPfinetNetwork,D:\ansible\module_utils\facts\network\hurd.py,23,59,2,2
CLASS,HurdNetworkCollector,D:\ansible\module_utils\facts\network\hurd.py,84,3,2,0
CLASS,IscsiInitiatorNetworkCollector,D:\ansible\module_utils\facts\network\iscsi.py,29,85,2,2
CLASS,LinuxNetwork,D:\ansible\module_utils\facts\network\linux.py,29,330,2,5
CLASS,LinuxNetworkCollector,D:\ansible\module_utils\facts\network\linux.py,361,4,3,0
