type,defName,fileName,lineno,MLOC,PAR,DOC,RMLOC
DEF,ConsoleCLI.help_timeout,D:\ansible\cli\console.py,461,1,1,0,3
DEF,ConsoleCLI.usage_timeout,D:\ansible\cli\console.py,465,0,1,0,2
DEF,ConsoleCLI.do_exit,D:\ansible\cli\console.py,468,2,2,0,4
DEF,ConsoleCLI.help_exit,D:\ansible\cli\console.py,473,0,1,0,2
DEF,ConsoleCLI.helpdefault,D:\ansible\cli\console.py,479,11,2,0,14
DEF,ConsoleCLI.help_help,D:\ansible\cli\console.py,494,0,1,0,2
DEF,ConsoleCLI.complete_cd,D:\ansible\cli\console.py,497,6,5,0,10
DEF,ConsoleCLI.completedefault,D:\ansible\cli\console.py,508,5,5,0,7
DEF,ConsoleCLI.module_args,D:\ansible\cli\console.py,516,3,2,0,4
DEF,ConsoleCLI.run,D:\ansible\cli\console.py,521,37,1,0,59
DEF,ConsoleCLI.__getattr__,D:\ansible\cli\console.py,581,14,2,0,19
DEF,main,D:\ansible\cli\console.py,602,0,0,0,2
DEF,jdump,D:\ansible\cli\doc.py,78,5,1,0,6
DEF,RoleMixin._load_role_data,D:\ansible\cli\doc.py,97,18,5,0,35
DEF,RoleMixin._load_metadata,D:\ansible\cli\doc.py,133,3,4,0,14
DEF,RoleMixin._load_argspec,D:\ansible\cli\doc.py,148,6,4,0,24
DEF,RoleMixin._find_all_normal_roles,D:\ansible\cli\doc.py,173,16,2,0,36
DEF,RoleMixin._find_all_collection_roles,D:\ansible\cli\doc.py,210,22,1,0,41
DEF,RoleMixin._build_summary,D:\ansible\cli\doc.py,252,12,5,0,30
DEF,RoleMixin._build_doc,D:\ansible\cli\doc.py,283,16,6,0,22
DEF,RoleMixin._create_role_list,D:\ansible\cli\doc.py,306,22,1,0,60
DEF,RoleMixin._create_role_doc,D:\ansible\cli\doc.py,367,10,2,0,22
DEF,_doclink,D:\ansible\cli\doc.py,391,3,1,0,5
DEF,_format,D:\ansible\cli\doc.py,398,12,2,0,23
DEF,DocCLI.__init__,D:\ansible\cli\doc.py,463,1,2,0,4
DEF,DocCLI._tty_ify_sem_simle,D:\ansible\cli\doc.py,469,3,1,0,3
DEF,DocCLI._tty_ify_sem_complex,D:\ansible\cli\doc.py,474,26,1,0,27
DEF,DocCLI.tty_ify,D:\ansible\cli\doc.py,503,21,2,0,32
DEF,DocCLI.init_parser,D:\ansible\cli\doc.py,536,30,1,0,53
DEF,DocCLI.post_process_args,D:\ansible\cli\doc.py,590,3,2,0,6
DEF,DocCLI.display_plugin_list,D:\ansible\cli\doc.py,597,27,2,0,46
DEF,DocCLI._display_available_roles,D:\ansible\cli\doc.py,644,21,2,0,33
DEF,DocCLI._display_role_doc,D:\ansible\cli\doc.py,678,11,2,0,15
DEF,DocCLI._list_keywords,D:\ansible\cli\doc.py,695,2,1,0,2
DEF,DocCLI._get_keywords_docs,D:\ansible\cli\doc.py,699,41,1,0,66
DEF,DocCLI._get_collection_filter,D:\ansible\cli\doc.py,766,7,1,0,10
DEF,DocCLI._list_plugins,D:\ansible\cli\doc.py,777,12,3,0,19
DEF,DocCLI._get_plugins_docs,D:\ansible\cli\doc.py,797,31,3,0,42
DEF,DocCLI._get_roles_path,D:\ansible\cli\doc.py,840,7,1,0,16
DEF,DocCLI._prep_loader,D:\ansible\cli\doc.py,858,10,1,0,17
DEF,DocCLI.run,D:\ansible\cli\doc.py,876,74,1,0,107
DEF,DocCLI.get_all_plugins_of_type,D:\ansible\cli\doc.py,985,7,1,0,7
DEF,DocCLI.get_plugin_metadata,D:\ansible\cli\doc.py,994,20,2,0,26
DEF,DocCLI.namespace_from_plugin_filepath,D:\ansible\cli\doc.py,1022,10,3,0,11
DEF,DocCLI._combine_plugin_doc,D:\ansible\cli\doc.py,1035,6,6,0,11
DEF,DocCLI.format_snippet,D:\ansible\cli\doc.py,1048,11,3,0,18
DEF,DocCLI.format_plugin_doc,D:\ansible\cli\doc.py,1068,11,6,0,21
DEF,DocCLI._get_plugin_list_descriptions,D:\ansible\cli\doc.py,1090,27,2,0,38
DEF,DocCLI.print_paths,D:\ansible\cli\doc.py,1130,7,1,0,10
DEF,DocCLI._dump_yaml,D:\ansible\cli\doc.py,1142,2,1,0,2
DEF,DocCLI._indent_lines,D:\ansible\cli\doc.py,1146,2,2,0,2
DEF,DocCLI._format_version_added,D:\ansible\cli\doc.py,1150,8,1,0,9
DEF,DocCLI.warp_fill,D:\ansible\cli\doc.py,1161,7,3,0,7
DEF,DocCLI.add_fields,D:\ansible\cli\doc.py,1170,69,4,0,99
DEF,DocCLI.get_role_man_text,D:\ansible\cli\doc.py,1270,56,3,0,84
DEF,DocCLI.get_man_text,D:\ansible\cli\doc.py,1356,127,1,0,153
DEF,_do_yaml_snippet,D:\ansible\cli\doc.py,1511,28,1,0,43
DEF,_do_lookup_snippet,D:\ansible\cli\doc.py,1556,24,1,0,36
DEF,main,D:\ansible\cli\doc.py,1594,0,0,0,2
DEF,with_collection_artifacts_manager,D:\ansible\cli\galaxy.py,91,2,1,2,31
DEF,method_wrapper,D:\ansible\cli\galaxy.py,99,13,2,0,22
DEF,_display_header,D:\ansible\cli\galaxy.py,124,0,3,0,10
DEF,_display_role,D:\ansible\cli\galaxy.py,136,7,1,0,8
DEF,_display_collection,D:\ansible\cli\galaxy.py,146,0,1,0,7
DEF,_get_collection_widths,D:\ansible\cli\galaxy.py,155,7,1,0,11
DEF,validate_signature_count,D:\ansible\cli\galaxy.py,168,4,1,0,7
DEF,RoleDistributionServer.api,D:\ansible\cli\galaxy.py,183,13,1,0,16
