class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
awscli.customizations.ec2addcount.CountArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.subcommands.CpCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.createcluster.CreateCluster,2,1,1,1,0,1,0,0,0,0,1
awscli.customizations.datapipeline.createdefaultroles.CreateDefaultRoles,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.createdefaultroles.CreateDefaultRoles,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.fileinfo.CreateDirectoryError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.emr.hbase.CreateHBaseBackup,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.tasks.CreateLocalFileTask,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.tasks.CreateMultipartUploadTask,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.listclusters.CreatedAfter,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.listclusters.CreatedBefore,1,1,0,1,0,1,0,0,0,0,0
awscli.arguments.CustomArgument,31,1,30,1,0,1,30,0,0,0,0
awscli.customizations.s3.syncstrategy.delete.DeleteSync,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.codedeploy.deregister.Deregister,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.describecluster.DescribeCluster,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.cloudtrail.validation.DigestError,2,0,2,0,0,0,2,0,0,0,0
awscli.customizations.cloudtrail.validation.DigestProvider,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.cloudtrail.validation.DigestSignatureError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.cloudtrail.validation.DigestTraverser,1,0,1,0,0,0,0,0,1,0,0
awscli.customizations.emr.hbase.DisableHBaseBackups,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.datapipeline.DocSectionNotFoundError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.tasks.DownloadCancelledError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.tasks.DownloadPartTask,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.exceptions.DuplicateEmrFsConfigurationError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.ecr.ECRLogin,2,1,1,1,0,1,0,0,0,0,1
awscli.customizations.emr.exceptions.EmptyListError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.exceptions.EmrError,28,0,28,0,0,0,28,0,0,0,0
awscli.errorhandler.ErrorHandler,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.syncstrategy.exacttimestamps.ExactTimestampsSync,1,1,0,1,0,1,0,0,0,0,0
awscli.help.ExecutableNotFoundError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.executor.Executor,4,1,3,1,0,0,0,0,0,1,3
awscli.customizations.emr.listclusters.FailedStateArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.iamvirtmfa.FileArgument,2,2,0,2,0,1,0,0,0,1,0
awscli.testutils.FileCreator,1,1,0,1,0,0,0,0,0,1,0
awscli.customizations.s3.filegenerator.FileDecodingError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.fileformat.FileFormat,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.filegenerator.FileGenerator,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.fileinfo.FileInfo,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.fileinfobuilder.FileInfoBuilder,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.filegenerator.FileStat,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.filters.Filter,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.flatten.FlattenArguments,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.flatten.FlattenedArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.formatter.Formatter,2,0,2,0,0,0,2,0,0,0,0
awscli.formatter.FullyBufferedFormatter,3,1,2,1,0,1,2,0,0,0,0
awscli.customizations.generatecliskeleton.GenerateCliSkeletonArgument,1,1,0,1,0,1,0,0,0,0,0
