class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated,RCLOC,CLOC,NOA,NOM,fileName,lineno
ansible.plugins.action.wait_for_connection.ActionModule,0,0,0,0,0,0,0,0,0,0,0,85.0,9.0,6.0,2.0,D:\ansible\plugins\action\wait_for_connection.py,35.0
ansible.cli.adhoc.AdHocCLI,1,0,1,0,0,0,0,0,0,0,1,173.0,6.0,1.0,4.0,D:\ansible\cli\adhoc.py,26.0
ansible.executor.stats.AggregateStats,1,1,0,1,0,0,0,0,0,1,0,74.0,6.0,0.0,6.0,D:\ansible\executor\stats.py,25.0
ansible.module_utils.errors.AliasError,1,1,0,1,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,D:\ansible\module_utils\errors.py,65.0
ansible.modules.hostname.AlinuxHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,696.0
ansible.modules.user.Alpine,1,1,0,1,0,1,0,0,0,0,0,7.0,3.0,2.0,0.0,D:\ansible\modules\user.py,3092.0
ansible.modules.group.AlpineGroup,1,1,0,1,0,1,0,0,0,0,0,4.0,3.0,2.0,0.0,D:\ansible\modules\group.py,613.0
ansible.modules.hostname.AlpineLinuxHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,810.0
ansible.modules.hostname.AlpineStrategy,2,2,0,2,0,1,0,0,0,1,0,17.0,4.0,2.0,1.0,D:\ansible\modules\hostname.py,277.0
ansible.modules.hostname.AmazonLinuxHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,720.0
ansible.modules.hostname.AnolisOSHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,678.0
ansible.parsing.yaml.objects.AnsibleBaseYAMLObject,4,0,4,0,0,0,4,0,0,0,0,26.0,7.0,4.0,2.0,D:\ansible\parsing\yaml\objects.py,28.0
ansible.utils.collection_loader._collection_config.AnsibleCollectionConfig,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,0.0,0.0,D:\ansible\utils\collection_loader\_collection_config.py,101.0
ansible.utils.collection_loader._collection_finder.AnsibleCollectionRef,0,0,0,0,0,0,0,0,0,0,0,184.0,11.0,3.0,8.0,D:\ansible\utils\collection_loader\_collection_finder.py,939.0
ansible.parsing.yaml.constructor.AnsibleConstructor,1,0,1,0,0,0,1,0,0,0,0,113.0,9.0,0.0,8.0,D:\ansible\parsing\yaml\constructor.py,33.0
ansible.plugins.connection.ssh.AnsibleControlPersistBrokenPipeError,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,0.0,D:\ansible\plugins\connection\ssh.py,412.0
ansible.parsing.yaml.dumper.AnsibleDumper,1,0,1,0,0,0,1,0,0,0,0,5.0,1.0,0.0,0.0,D:\ansible\parsing\yaml\dumper.py,31.0
ansible.executor.task_queue_manager.AnsibleEndPlay,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,1.0,D:\ansible\executor\task_queue_manager.py,108.0
ansible.module_utils.facts.ansible_collector.AnsibleFactCollector,1,1,0,1,0,1,0,0,0,0,0,61.0,4.0,0.0,3.0,D:\ansible\module_utils\facts\ansible_collector.py,41.0
ansible.module_utils.errors.AnsibleFallbackNotFound,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,D:\ansible\module_utils\errors.py,8.0
ansible.template.template.AnsibleJ2Template,1,1,0,1,0,0,0,0,0,1,0,19.0,2.0,0.0,1.0,D:\ansible\template\template.py,25.0
ansible.template.vars.AnsibleJ2Vars,0,0,0,0,0,0,0,0,0,0,0,52.0,4.0,0.0,3.0,D:\ansible\template\vars.py,26.0
ansible.parsing.ajson.AnsibleJSONDecoder,0,0,0,0,0,0,0,0,0,0,0,25.0,5.0,1.0,3.0,D:\ansible\parsing\ajson.py,16.0
ansible.module_utils.common.json.AnsibleJSONEncoder,0,0,0,0,0,0,0,0,0,0,0,41.0,4.0,0.0,3.0,D:\ansible\module_utils\common\json.py,44.0
ansible.parsing.yaml.loader.AnsibleLoader,1,1,0,1,0,1,0,0,0,0,0,8.0,2.0,0.0,1.0,D:\ansible\parsing\yaml\loader.py,26.0
ansible.parsing.yaml.objects.AnsibleMapping,1,1,0,1,0,1,0,0,0,0,0,3.0,2.0,0.0,0.0,D:\ansible\parsing\yaml\objects.py,56.0
ansible.module_utils.basic.AnsibleModule,2,0,2,0,0,0,0,0,0,0,2,1700.0,65.0,2.0,62.0,D:\ansible\module_utils\basic.py,360.0
ansible.modules.copy.AnsibleModuleError,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,1.0,D:\ansible\modules\copy.py,303.0
ansible.modules.file.AnsibleModuleError,1,0,1,0,0,0,1,0,0,0,0,6.0,3.0,0.0,2.0,D:\ansible\modules\file.py,248.0
ansible.parsing.yaml.objects.AnsibleSequence,1,1,0,1,0,1,0,0,0,0,0,3.0,2.0,0.0,0.0,D:\ansible\parsing\yaml\objects.py,66.0
ansible.plugins.inventory.toml.AnsibleTomlEncoder,0,0,0,0,0,0,0,0,0,0,0,10.0,2.0,0.0,1.0,D:\ansible\plugins\inventory\toml.py,134.0
ansible.parsing.yaml.objects.AnsibleUnicode,1,1,0,1,0,1,0,0,0,0,0,3.0,2.0,0.0,0.0,D:\ansible\parsing\yaml\objects.py,61.0
ansible.utils.unsafe_proxy.AnsibleUnsafe,2,0,2,0,0,0,2,0,0,0,0,2.0,2.0,1.0,0.0,D:\ansible\utils\unsafe_proxy.py,66.0
ansible.utils.unsafe_proxy.AnsibleUnsafeBytes,1,1,0,1,0,1,0,0,0,0,0,4.0,2.0,0.0,1.0,D:\ansible\utils\unsafe_proxy.py,70.0
ansible.utils.unsafe_proxy.AnsibleUnsafeText,3,2,1,2,0,1,1,0,0,1,0,4.0,2.0,0.0,1.0,D:\ansible\utils\unsafe_proxy.py,76.0
